CNUM,BEEID,CHOICE,CONDITION,ORDER
20,12,0,PRIME,12
21,12,0,PRIME,12
22,12,1,PRIME,12
23,12,0,PRIME,12
24,12,1,PRIME,12
25,12,1,PRIME,12
26,12,0,PRIME,12
27,12,1,PRIME,12
28,12,0,PRIME,12
29,12,1,PRIME,12
30,12,1,PRIME,12
31,12,0,PRIME,12
32,12,1,PRIME,12
33,12,1,PRIME,12
34,12,0,PRIME,12
35,12,1,PRIME,12
36,12,0,PRIME,12
37,12,1,PRIME,12
38,12,0,PRIME,12
39,12,0,PRIME,12
40,12,1,PRIME,12
41,12,0,PRIME,12
42,12,1,PRIME,12
43,12,1,PRIME,12
44,12,0,PRIME,12
45,12,1,PRIME,12
46,12,1,PRIME,12
47,12,0,PRIME,12
48,12,1,PRIME,12
49,12,1,PRIME,12
50,12,0,PRIME,12
51,12,1,PRIME,12
52,12,0,PRIME,12
53,12,1,PRIME,12
54,12,0,PRIME,12
55,12,1,PRIME,12
56,12,1,PRIME,12
57,12,0,PRIME,12
58,12,0,PRIME,12
59,12,1,PRIME,12
60,12,1,PRIME,12
